RowId;ThresholdProfileName;ExpectedFound;ExpectedRank;ExpectedScore;BestNonMatchRank;BestNonMatchScore;ScoreDrop;CandidateCount
159;Passweb_1_N_Alder_14_15;True;1;865;2;582;283;15
160;Passweb_1_N_Alder_16_17;True;1;733;2;546;187;15
161;Passweb_1_N_Alder_18_70;True;1;960;2;531;429;15
162;Passweb_1_N_Alder_18_70;True;1;912;2;575;337;15
163;Passweb_1_N_Alder_18_70;True;1;876;2;564;312;15
164;Passweb_1_N_Alder_7_13;True;1;848;2;613;235;15
165;Passweb_1_N_Alder_18_70;True;1;847;2;605;242;15
166;Passweb_1_N_Alder_16_17;True;1;713;2;652;61;15
167;Passweb_1_N_Alder_18_70;True;1;845;2;568;277;15
168;Passweb_1_N_Alder_7_13;True;1;880;2;590;290;15
169;Passweb_1_N_Alder_71_T;True;1;827;2;568;259;15
170;Passweb_1_N_Alder_7_13;True;1;926;2;660;266;15
171;Passweb_1_N_Alder_7_13;True;1;872;2;639;233;15
172;Passweb_1_N_Alder_18_70;True;1;946;2;540;406;15
173;Passweb_1_N_Alder_18_70;True;1;819;2;569;250;15
174;Passweb_1_N_Alder_18_70;True;1;863;2;507;356;15
175;Passweb_1_N_Alder_2_6;True;1;731;2;622;109;15
176;Passweb_1_N_Alder_18_70;True;1;810;2;584;226;15
177;Passweb_1_N_Alder_18_70;True;1;809;2;551;258;15
178;Passweb_1_N_Alder_18_70;True;1;783;2;533;250;15
179;Passweb_1_N_Alder_18_70;True;1;896;2;529;367;15
180;Passweb_1_N_Alder_16_17;True;1;832;2;566;266;15
181;Passweb_1_N_Alder_18_70;True;1;773;2;547;226;15
182;Passweb_1_N_Alder_18_70;True;1;939;2;566;373;15
183;Passweb_1_N_Alder_18_70;True;1;896;2;603;293;15
184;Passweb_1_N_Alder_18_70;True;1;692;2;576;116;15
185;Passweb_1_N_Alder_71_T;True;1;719;2;575;144;15
186;Passweb_1_N_Alder_18_70;True;1;850;2;471;379;15
187;Passweb_1_N_Alder_18_70;True;1;846;2;555;291;15
188;Passweb_1_N_Alder_18_70;True;1;824;2;557;267;15
189;Passweb_1_N_Alder_2_6;True;1;828;2;783;45;15
190;Passweb_1_N_Alder_18_70;True;1;885;2;512;373;15
191;Passweb_1_N_Alder_18_70;True;1;842;2;546;296;15
192;Passweb_1_N_Alder_2_6;True;1;849;2;598;251;15
193;Passweb_1_N_Alder_14_15;True;1;766;2;686;80;15
194;Passweb_1_N_Alder_7_13;True;1;884;2;623;261;15
195;Passweb_1_N_Alder_18_70;True;1;849;2;635;214;15
196;Passweb_1_N_Alder_7_13;True;1;841;2;636;205;15
197;Passweb_1_N_Alder_18_70;True;1;885;2;562;323;15
198;Passweb_1_N_Alder_18_70;True;1;868;2;585;283;15
199;Passweb_1_N_Alder_18_70;True;1;854;2;542;312;15
200;Passweb_1_N_Alder_7_13;True;1;901;2;644;257;15
201;Passweb_1_N_Alder_2_6;False;;;1;765;;15
202;Passweb_1_N_Alder_14_15;True;1;770;2;502;268;15
203;Passweb_1_N_Alder_7_13;True;1;793;2;683;110;15
204;Passweb_1_N_Alder_7_13;True;1;863;2;669;194;15
205;Passweb_1_N_Alder_18_70;True;1;849;2;521;328;15
206;Passweb_1_N_Alder_71_T;True;1;842;2;552;290;15
207;Passweb_1_N_Alder_18_70;True;1;881;2;568;313;15
208;Passweb_1_N_Alder_18_70;True;1;889;2;515;374;15
209;Passweb_1_N_Alder_18_70;True;1;934;2;542;392;15
210;Passweb_1_N_Alder_18_70;True;1;866;2;520;346;15
211;Passweb_1_N_Alder_18_70;True;1;767;2;551;216;15
212;Passweb_1_N_Alder_18_70;True;1;941;2;518;423;15
213;Passweb_1_N_Alder_18_70;True;1;891;2;529;362;15
214;Passweb_1_N_Alder_18_70;True;1;952;2;605;347;15
215;Passweb_1_N_Alder_18_70;True;1;834;2;554;280;15
216;Passweb_1_N_Alder_18_70;True;1;870;2;608;262;15
217;Passweb_1_N_Alder_18_70;True;1;617;2;551;66;15
218;Passweb_1_N_Alder_18_70;True;1;844;2;518;326;15
219;Passweb_1_N_Alder_7_13;True;1;900;2;594;306;15
220;Passweb_1_N_Alder_2_6;True;1;729;2;696;33;15
221;Passweb_1_N_Alder_18_70;True;1;941;2;503;438;15
222;Passweb_1_N_Alder_7_13;True;1;888;2;699;189;15
223;Passweb_1_N_Alder_18_70;True;1;859;2;578;281;15
224;Passweb_1_N_Alder_7_13;True;1;897;2;621;276;15
225;Passweb_1_N_Alder_7_13;True;1;894;2;620;274;15
226;Passweb_1_N_Alder_2_6;True;1;826;2;653;173;15
227;Passweb_1_N_Alder_18_70;True;1;847;2;503;344;15
228;Passweb_1_N_Alder_18_70;True;1;950;2;596;354;15
229;Passweb_1_N_Alder_2_6;True;1;796;2;693;103;15
230;Passweb_1_N_Alder_18_70;True;1;854;2;528;326;15
231;Passweb_1_N_Alder_18_70;True;1;813;2;498;315;15
